fold,val_accuracy,val_macro_f1,config_name
1,0.4225,0.42019335232449134,shallow
2,0.414,0.40867297109761047,shallow
3,0.4245,0.418647434229273,shallow
4,0.4215,0.41810815021480713,shallow
5,0.4095,0.40360360009855245,shallow
1,0.433,0.4264514387974251,baseline
2,0.4355,0.4296578440133037,baseline
3,0.4205,0.41600206895948794,baseline
4,0.4135,0.4083982326475648,baseline
5,0.401,0.3952296318757988,baseline
1,0.418,0.4112010525594162,regularized
2,0.4295,0.42242035479094325,regularized
3,0.416,0.41117931925207074,regularized
4,0.4365,0.4320706439002648,regularized
5,0.4275,0.42042571099694814,regularized
